Date_time,T_ex,T_in,Power
1391589466,8,23.34116,23.68303571
1391589830,8,23.34116,23.14732143
1391590192,8,23.34116,22.83482143
1391590554,8,23.43528,22.56696429
1391590917,8,23.43528,22.58928571
1391591281,8,23.43528,22.41071429
1391591634,8,23.43526,21.74107143
1391592410,8,23.43526,22.32142857
1391592773,8,23.46664,21.54017857
1391593135,8,23.46664,21.27232143
1391593497,8,23.46664,21.33928571
1391593860,8,23.52942,21.27232143
1391594224,8,23.52942,20.66964286
1391594587,8,23.52942,20.87053571
1391594947,8,23.52942,22.00892857
1391595311,8,23.52942,22.67857143
1391595674,8,23.52942,22.87946429
1391596028,8,23.56078,23.77232143
1391596392,8,23.56078,22.54464286
1391596754,8,23.56078,23.10267857
1391597117,8,23.52942,23.63839286
1391597479,8,23.52942,23.30357143
1391597842,8,23.52942,23.72767857
1391598205,8,23.56078,24.21875
1391598568,8,23.59216,23.4375
1391598931,8,23.6549,22.5
1391599294,8,23.68628,22.12053571
1391599646,8,23.68628,21.65178571
1391600422,8,23.71766,21.58482143
1391600784,8,23.71766,20.98214286
1391601146,8,23.7804,20.9375
1391601509,8,23.81178,20.60267857
1391601873,8,23.81178,21.62946429
1391602236,8,23.81178,21.13839286
1391602598,8,23.7804,21.42857143
1391602960,8,23.81176,22.38839286
1391603324,8,23.78038,22.47767857
1391603686,8,23.78038,22.58928571
1391604039,8,23.78038,23.77232143
1391604402,8,23.78038,23.37053571
1391604766,8,23.78038,23.28125
1391605129,8,23.78038,23.30357143
1391605491,8,23.78038,22.8125
1391605854,8,23.749,22.25446429
1391606217,8,23.68626,22.05357143
1391606580,8,23.68626,22.38839286
1391606942,8,23.68626,21.89732143
1391607306,8,23.74902,21.60714286
1391607658,8,23.74902,21.29464286
1391608433,8,23.74902,21.09375
1391608797,8,23.74902,21.80803571
1391609159,8,23.74902,22.07589286
1391609522,8,23.74902,21.96428571
1391609885,8,23.74902,21.54017857
1391610246,8,23.74902,21.71875
1391610610,8,23.74902,21.875
1391610974,8,23.74902,22.09821429
1391611337,8,23.74902,21.80803571
1391611699,8,23.71764,21.89732143
1391612051,8,23.68628,21.58482143
1391612415,8,23.68628,21.40625
1391612778,8,23.68628,21.58482143
1391613141,8,23.68628,23.125
1391613504,8,23.68628,24.01785714
1391613866,8,23.68628,24.35267857
