time,rentals
2017-10-21 01:00:00,271
2017-10-21 02:00:00,203
2017-10-21 03:00:00,119
2017-10-21 04:00:00,107
2017-10-21 05:00:00,74
2017-10-21 06:00:00,51
2017-10-21 07:00:00,92
2017-10-21 08:00:00,164
2017-10-21 09:00:00,233
2017-10-21 10:00:00,264
2017-10-21 11:00:00,296
2017-10-21 12:00:00,378
2017-10-21 13:00:00,331
2017-10-21 14:00:00,296
2017-10-21 15:00:00,320
2017-10-21 16:00:00,325
2017-10-21 17:00:00,333
2017-10-21 18:00:00,415
2017-10-21 19:00:00,498
2017-10-21 20:00:00,566
2017-10-21 21:00:00,391
2017-10-21 22:00:00,401
2017-10-21 23:00:00,442
2017-10-22 00:00:00,383
2017-10-22 01:00:00,276
2017-10-22 02:00:00,177
2017-10-22 03:00:00,133
2017-10-22 04:00:00,86
2017-10-22 05:00:00,59
2017-10-22 06:00:00,42
2017-10-22 07:00:00,45
2017-10-22 08:00:00,88
2017-10-22 09:00:00,140
2017-10-22 10:00:00,193
2017-10-22 11:00:00,232
2017-10-22 12:00:00,310
2017-10-22 13:00:00,307
2017-10-22 14:00:00,261
2017-10-22 15:00:00,297
2017-10-22 16:00:00,313
2017-10-22 17:00:00,370
2017-10-22 18:00:00,330
2017-10-22 19:00:00,404
2017-10-22 20:00:00,298
2017-10-22 21:00:00,226
2017-10-22 22:00:00,241
2017-10-22 23:00:00,229
2017-10-23 00:00:00,147
2017-10-23 01:00:00,75
2017-10-23 02:00:00,31
2017-10-23 03:00:00,16
2017-10-23 04:00:00,18
2017-10-23 05:00:00,50
2017-10-23 06:00:00,88
2017-10-23 07:00:00,137
2017-10-23 08:00:00,288
2017-10-23 09:00:00,330
2017-10-23 10:00:00,280
2017-10-23 11:00:00,242
2017-10-23 12:00:00,281
2017-10-23 13:00:00,279
2017-10-23 14:00:00,301
2017-10-23 15:00:00,266
2017-10-23 16:00:00,319
2017-10-23 17:00:00,345
2017-10-23 18:00:00,438
2017-10-23 19:00:00,412
2017-10-23 20:00:00,394
2017-10-23 21:00:00,312
2017-10-23 22:00:00,268
2017-10-23 23:00:00,251
2017-10-24 00:00:00,149
2017-10-24 01:00:00,90
2017-10-24 02:00:00,55
2017-10-24 03:00:00,21
2017-10-24 04:00:00,27
2017-10-24 05:00:00,32
2017-10-24 06:00:00,75
2017-10-24 07:00:00,178
2017-10-24 08:00:00,307
2017-10-24 09:00:00,337
2017-10-24 10:00:00,256
2017-10-24 11:00:00,248
2017-10-24 12:00:00,310
2017-10-24 13:00:00,313
2017-10-24 14:00:00,302
2017-10-24 15:00:00,301
2017-10-24 16:00:00,290
2017-10-24 17:00:00,336
2017-10-24 18:00:00,457
2017-10-24 19:00:00,464
2017-10-24 20:00:00,406
2017-10-24 21:00:00,347
2017-10-24 22:00:00,342
2017-10-24 23:00:00,339
2017-10-25 00:00:00,217
2017-10-25 01:00:00,94
2017-10-25 02:00:00,61
2017-10-25 03:00:00,32
2017-10-25 04:00:00,39
2017-10-25 05:00:00,35
2017-10-25 06:00:00,70
2017-10-25 07:00:00,179
2017-10-25 08:00:00,340
2017-10-25 09:00:00,339
2017-10-25 10:00:00,257
2017-10-25 11:00:00,240
2017-10-25 12:00:00,311
2017-10-25 13:00:00,318
2017-10-25 14:00:00,350
2017-10-25 15:00:00,323
2017-10-25 16:00:00,328
2017-10-25 17:00:00,392
2017-10-25 18:00:00,410
2017-10-25 19:00:00,504
2017-10-25 20:00:00,450
2017-10-25 21:00:00,340
2017-10-25 22:00:00,357
2017-10-25 23:00:00,349
2017-10-26 00:00:00,186
2017-10-26 01:00:00,120
2017-10-26 02:00:00,57
2017-10-26 03:00:00,24
2017-10-26 04:00:00,25
2017-10-26 05:00:00,39
2017-10-26 06:00:00,79
2017-10-26 07:00:00,163
2017-10-26 08:00:00,356
2017-10-26 09:00:00,334
2017-10-26 10:00:00,288
2017-10-26 11:00:00,284
2017-10-26 12:00:00,319
2017-10-26 13:00:00,311
2017-10-26 14:00:00,322
2017-10-26 15:00:00,338
2017-10-26 16:00:00,343
2017-10-26 17:00:00,401
2017-10-26 18:00:00,454
2017-10-26 19:00:00,495
2017-10-26 20:00:00,470
2017-10-26 21:00:00,376
2017-10-26 22:00:00,354
2017-10-26 23:00:00,374
2017-10-27 00:00:00,263
2017-10-27 01:00:00,140
2017-10-27 02:00:00,67
2017-10-27 03:00:00,32
2017-10-27 04:00:00,26
2017-10-27 05:00:00,42
2017-10-27 06:00:00,77
2017-10-27 07:00:00,192
2017-10-27 08:00:00,375
2017-10-27 09:00:00,385
2017-10-27 10:00:00,287
